start_date,anio,mes,mes_cont,zona,rooms,bedrooms,bathrooms,surface_total,price,price_per_m2
2021-02-17,2021,2,14,1_1,2.0,2.0,1.0,68.0,122300.0,1798.5294117647059
2021-02-17,2021,2,14,0_1,2.0,1.0,1.0,68.0,183000.0,2691.176470588235
2021-02-17,2021,2,14,2_0,2.0,1.0,1.0,50.0,125000.0,2500.0
2021-02-17,2021,2,14,1_2,3.0,1.0,2.0,71.0,245000.0,3450.7042253521126
2021-02-17,2021,2,14,2_0,3.0,2.0,1.0,55.0,141000.0,2563.6363636363635
2021-02-17,2021,2,14,2_5,3.0,2.0,2.0,68.0,278000.0,4088.235294117647
2021-02-17,2021,2,14,1_3,3.0,2.0,2.0,70.0,265000.0,3785.714285714286
2021-02-17,2021,2,14,1_1,3.0,2.0,1.0,68.0,128000.0,1882.3529411764705
2021-02-17,2021,2,14,2_2,4.0,3.0,2.0,68.0,261366.0,3843.6176470588234
2021-02-17,2021,2,14,1_2,3.0,3.0,2.0,69.0,178000.0,2579.710144927536
2021-02-17,2021,2,14,2_3,3.0,3.0,2.0,98.0,325000.0,3316.326530612245
2021-02-17,2021,2,14,2_0,4.0,3.0,2.0,85.0,176900.0,2081.176470588235
2021-02-17,2021,2,14,1_3,3.0,3.0,2.0,112.0,410000.0,3660.714285714286
2021-02-17,2021,2,14,0_1,3.0,3.0,3.0,130.0,442000.0,3400.0
2020-05-13,2020,5,5,0_1,2.0,2.0,1.0,68.0,208000.0,3058.823529411765
2020-05-13,2020,5,5,1_2,2.0,1.0,1.0,53.0,118000.0,2226.4150943396226
2020-05-13,2020,5,5,1_1,2.0,1.0,1.0,40.0,81000.0,2025.0
2020-09-17,2020,9,9,1_0,1.0,2.0,1.0,81.0,136000.0,1679.0123456790122
2020-09-17,2020,9,9,0_1,3.0,2.0,1.0,38.0,100000.0,2631.5789473684213
2020-09-17,2020,9,9,1_1,1.0,2.0,1.0,45.0,125000.0,2777.777777777778
2020-09-17,2020,9,9,0_1,1.0,2.0,1.0,48.0,139000.0,2895.8333333333335
